/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 144, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 145, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 146, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 147, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 148, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 149, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 150, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 151, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 152, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 153, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 155, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 156, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 156, col 23, 'j' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 157, col 3, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 158, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 159, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 161, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 161, col 29, Variables should not be deleted.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 162, col 3, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 164, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 164, col 12, Don't make functions within a loop.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 165, col 1, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/mywebsql/js/sorttable.js: line 174, col 16, Use '!==' to compare with ''.
