/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 61, col 37, 'inArray' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 64, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 64, col 35, 'inArray' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 72, col 19, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 75, col 5, 'assertNotUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 78, col 5, 'each' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 82, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 92, col 5, 'each' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 96, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 100, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 101, col 5, 'each' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 105, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 109, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 110, col 5, 'each' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 114, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 125, col 11, 'grep' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 130, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 131, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 142, col 11, 'map' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 147, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 186, col 12, 'merge' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 188, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 189, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 190, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 191, col 5, 'assertNull' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 192, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 193, col 5, 'assertNull' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 207, col 12, 'merge' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 209, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 210, col 5, 'assertEquals' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 211, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 212, col 5, 'assertUndefined' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/AdaptersTest.js: line 212, col 5, Too many errors. (22% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/DataGroupingTest.js: line 12, col 13, 'arr' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/DataGroupingTest.js: line 17, col 13, 'arr' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/highcharts/test/unit/DataGroupingTest.js: line 21, col 13, 'arr' is already defined.
